gender,province,education,income_family,n
Female,Alberta,Above bachelor,"$100,000 to $ 124,999",13
Female,Alberta,Above bachelor,"$125,000 and more",30
Female,Alberta,Above bachelor,"$25,000 to $49,999",6
Female,Alberta,Above bachelor,"$50,000 to $74,999",11
Female,Alberta,Above bachelor,"$75,000 to $99,999",8
Female,Alberta,Above bachelor,"Less than $25,000",1
Female,Alberta,Bachelor's degree,"$100,000 to $ 124,999",32
Female,Alberta,Bachelor's degree,"$125,000 and more",62
Female,Alberta,Bachelor's degree,"$25,000 to $49,999",25
Female,Alberta,Bachelor's degree,"$50,000 to $74,999",32
Female,Alberta,Bachelor's degree,"$75,000 to $99,999",20
Female,Alberta,Bachelor's degree,"Less than $25,000",10
Female,Alberta,Below bachelor,"$100,000 to $ 124,999",6
Female,Alberta,Below bachelor,"$125,000 and more",10
Female,Alberta,Below bachelor,"$25,000 to $49,999",6
Female,Alberta,Below bachelor,"$50,000 to $74,999",6
Female,Alberta,Below bachelor,"$75,000 to $99,999",9
Female,Alberta,Below bachelor,"Less than $25,000",2
Female,Alberta,Below high school,"$100,000 to $ 124,999",5
Female,Alberta,Below high school,"$125,000 and more",12
Female,Alberta,Below high school,"$25,000 to $49,999",25
Female,Alberta,Below high school,"$50,000 to $74,999",14
Female,Alberta,Below high school,"$75,000 to $99,999",7
Female,Alberta,Below high school,"Less than $25,000",21
Female,Alberta,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",29
Female,Alberta,High school diploma or a high school equivalency certificate,"$125,000 and more",64
Female,Alberta,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",54
Female,Alberta,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",34
Female,Alberta,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",34
Female,Alberta,High school diploma or a high school equivalency certificate,"Less than $25,000",30
Female,Alberta,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",26
Female,Alberta,"Technical, community college, CEGEP, College Classique","$125,000 and more",79
Female,Alberta,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",60
Female,Alberta,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",50
Female,Alberta,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",39
Female,Alberta,"Technical, community college, CEGEP, College Classique","Less than $25,000",26
Female,British Columbia,Above bachelor,"$100,000 to $ 124,999",9
Female,British Columbia,Above bachelor,"$125,000 and more",55
Female,British Columbia,Above bachelor,"$25,000 to $49,999",27
Female,British Columbia,Above bachelor,"$50,000 to $74,999",23
Female,British Columbia,Above bachelor,"$75,000 to $99,999",23
Female,British Columbia,Above bachelor,"Less than $25,000",9
Female,British Columbia,Bachelor's degree,"$100,000 to $ 124,999",39
Female,British Columbia,Bachelor's degree,"$125,000 and more",92
Female,British Columbia,Bachelor's degree,"$25,000 to $49,999",45
Female,British Columbia,Bachelor's degree,"$50,000 to $74,999",53
Female,British Columbia,Bachelor's degree,"$75,000 to $99,999",37
Female,British Columbia,Bachelor's degree,"Less than $25,000",22
Female,British Columbia,Below bachelor,"$100,000 to $ 124,999",9
Female,British Columbia,Below bachelor,"$125,000 and more",13
Female,British Columbia,Below bachelor,"$25,000 to $49,999",12
Female,British Columbia,Below bachelor,"$50,000 to $74,999",15
Female,British Columbia,Below bachelor,"$75,000 to $99,999",14
Female,British Columbia,Below bachelor,"Less than $25,000",5
Female,British Columbia,Below high school,"$100,000 to $ 124,999",4
Female,British Columbia,Below high school,"$125,000 and more",15
Female,British Columbia,Below high school,"$25,000 to $49,999",41
Female,British Columbia,Below high school,"$50,000 to $74,999",18
Female,British Columbia,Below high school,"$75,000 to $99,999",10
Female,British Columbia,Below high school,"Less than $25,000",41
Female,British Columbia,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",25
Female,British Columbia,High school diploma or a high school equivalency certificate,"$125,000 and more",48
Female,British Columbia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",88
Female,British Columbia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",51
Female,British Columbia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",51
Female,British Columbia,High school diploma or a high school equivalency certificate,"Less than $25,000",55
